Run,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,DATASTORE filetype,DATASTORE provider,DATASTORE region,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
SRR7890834,43,WGS,302,322162546196,SEQC-II,PRJNA489865,SAMN10102586,Human,105541320386,FDA,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4728534,Illumina HiSeq 4000,ATCC-1395-BrCA-R-6,FFG_GZ_T_6h-A,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,ATCC-1395-BrCA-R-6,female,SRP162370,FFPE,,FFPE 6 hour
SRR7890835,43,WGS,302,278451430710,SEQC-II,PRJNA489865,SAMN10102585,Human,89866911213,FDA,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4728533,Illumina HiSeq 4000,ATCC-1395-BrCA-R-2,FFG_GZ_T_2h-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,ATCC-1395-BrCA-R-2,female,SRP162370,FFPE,,FFPE 2 hour
SRR7890836,43,WGS,302,344470178460,SEQC-II,PRJNA489865,SAMN10102585,Human,112780355999,FDA,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX4728532,Illumina HiSeq 4000,ATCC-1395-BrCA-R-2,FFG_GZ_T_2h-A,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,ATCC-1395-BrCA-R-2,female,SRP162370,FFPE,,FFPE 2 hour
SRR7890837,43,WGS,302,467595412662,SEQC-II,PRJNA489865,SAMN10102587,Human,152221936269,FDA,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX4728531,Illumina HiSeq 4000,ATCC-1395-BrCA-R-24,FFG_GZ_T_24h-F,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,ATCC-1395-BrCA-R-24,female,SRP162370,FFPE,,FFPE 24 hour
SRR7890838,43,WGS,302,380145114414,SEQC-II,PRJNA489865,SAMN10102587,Human,123832576681,FDA,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4728530,Illumina HiSeq 4000,ATCC-1395-BrCA-R-24,FFG_GZ_T_24h-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,ATCC-1395-BrCA-R-24,female,SRP162370,FFPE,,FFPE 24 hour
SRR7890839,43,WGS,302,368644567552,SEQC-II,PRJNA489865,SAMN10102584,Human,119515174963,FDA,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX4728529,Illumina HiSeq 4000,ATCC-1395-BrCA-R-1,FFG_GZ_T_1h-E,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,ATCC-1395-BrCA-R-1,female,SRP162370,FFPE,,FFPE 1 hour
SRR7890840,43,WGS,302,246386645338,SEQC-II,PRJNA489865,SAMN10102584,Human,80768416936,FDA,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX4728528,Illumina HiSeq 4000,ATCC-1395-BrCA-R-1,FFG_GZ_T_1h-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,ATCC-1395-BrCA-R-1,female,SRP162370,FFPE,,FFPE 1 hour
SRR7890841,43,WGS,302,328134143498,SEQC-II,PRJNA489865,SAMN10102584,Human,109477589158,FDA,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4728527,Illumina HiSeq 4000,ATCC-1395-BrCA-R-1,FFG_GZ_T_1h-A,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,ATCC-1395-BrCA-R-1,female,SRP162370,FFPE,,FFPE 1 hour
SRR7890842,43,WGS,297,262728660135,SEQC-II,PRJNA489865,SAMN10102580,Human,120184509323,FDA,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX4728526,Illumina HiSeq 4000,ATCC-1395-BL-R-1,FFG_IL_N_1h,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,ATCC-1395-BL-R-1,female,SRP162370,FFPE,,FFPE 1 hour
SRR7890843,43,WGS,302,436637845662,SEQC-II,PRJNA489865,SAMN10102586,Human,141250664984,FDA,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX4728525,Illumina HiSeq 4000,ATCC-1395-BrCA-R-6,FFG_GZ_T_6h-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,ATCC-1395-BrCA-R-6,female,SRP162370,FFPE,,FFPE 6 hour
SRR7890844,43,WXS,252,13746234348,ATCC,PRJNA489865,SAMN10102573,Human,4781586599,FDA,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX4728524,Illumina HiSeq 2500,CRL-2324,WES_NC_T_1,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395,female,SRP162370,breast carcinoma,CRL-2324,
SRR7890845,43,WXS,252,14378682780,ATCC,PRJNA489865,SAMN10102574,Human,5003695518,FDA,public,"fastq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX4728523,Illumina HiSeq 2500,CRL-2325,WES_NC_N_1,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395BL,female,SRP162370,B lymphoblast,CRL-2325,
SRR7890846,43,WXS,250,52257336750,ATCC,PRJNA489865,SAMN10102574,Human,27861998701,FDA,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4728522,Illumina HiSeq 2500,CRL-2325,WES_NV_N_2,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395BL,female,SRP162370,B lymphoblast,CRL-2325,
SRR7890847,43,WXS,250,49662390000,ATCC,PRJNA489865,SAMN10102574,Human,25581830003,FDA,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX4728521,Illumina HiSeq 2500,CRL-2325,WES_NV_N_1,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395BL,female,SRP162370,B lymphoblast,CRL-2325,
SRR7890848,43,WXS,250,42765402250,ATCC,PRJNA489865,SAMN10102573,Human,17587155798,FDA,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX4728520,Illumina HiSeq 4000,CRL-2324,WES_IL_T_3,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395,female,SRP162370,breast carcinoma,CRL-2324,
SRR7890849,43,WXS,250,97087556500,ATCC,PRJNA489865,SAMN10102573,Human,39911295449,FDA,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX4728519,Illumina HiSeq 4000,CRL-2324,WES_IL_T_2,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395,female,SRP162370,breast carcinoma,CRL-2324,
SRR7890850,43,WXS,302,8078333598,ATCC,PRJNA489865,SAMN10102573,Human,3063970017,FDA,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX4728518,Illumina HiSeq 4000,CRL-2324,WES_LL_T_1,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395,female,SRP162370,breast carcinoma,CRL-2324,
SRR7890851,43,WXS,302,10541425364,ATCC,PRJNA489865,SAMN10102574,Human,3987546636,FDA,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX4728517,Illumina HiSeq 4000,CRL-2325,WES_LL_N_1,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395BL,female,SRP162370,B lymphoblast,CRL-2325,
SRR7890852,43,WXS,250,47624293000,ATCC,PRJNA489865,SAMN10102573,Human,24143921979,FDA,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,gs.US,ncbi.public",SRX4728516,Illumina HiSeq 2500,CRL-2324,WES_NV_T_1,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395,female,SRP162370,breast carcinoma,CRL-2324,
SRR7890853,43,WXS,250,46988175750,ATCC,PRJNA489865,SAMN10102574,Human,23690584498,FDA,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX4728515,Illumina HiSeq 2500,CRL-2325,WES_NV_N_3,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395BL,female,SRP162370,B lymphoblast,CRL-2325,
SRR7890854,43,WGS,302,181563326838,ATCC,PRJNA489865,SAMN10102573,Human,81654234248,FDA,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX4728514,Illumina HiSeq 4000,CRL-2324,WGS_NC_T_1,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395,female,SRP162370,breast carcinoma,CRL-2324,
SRR7890855,43,WGS,302,186049631062,ATCC,PRJNA489865,SAMN10102574,Human,82747957902,FDA,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX4728513,Illumina HiSeq 4000,CRL-2325,WGS_NC_N_1,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395BL,female,SRP162370,B lymphoblast,CRL-2325,
SRR7890856,43,WGS,300,323657926956,ATCC,PRJNA489865,SAMN10102573,Human,155876433880,FDA,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX4728512,Illumina HiSeq 4000,CRL-2324,WGS_IL_T_1,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395,female,SRP162370,breast carcinoma,CRL-2324,
SRR7890857,43,WGS,300,64924743849,ATCC,PRJNA489865,SAMN10102574,Human,31639439455,FDA,public,"sra,fastq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX4728511,Illumina HiSeq 4000,CRL-2325,WGS_IL_N_3,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395BL,female,SRP162370,B lymphoblast,CRL-2325,
SRR7890858,43,WGS,300,56265329443,ATCC,PRJNA489865,SAMN10102574,Human,26477810068,FDA,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4728510,Illumina HiSeq 4000,CRL-2325,WGS_IL_N_2,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395BL,female,SRP162370,B lymphoblast,CRL-2325,
SRR7890859,43,WGS,300,76271058509,ATCC,PRJNA489865,SAMN10102574,Human,40626133743,FDA,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX4728509,Illumina HiSeq 4000,CRL-2325,WGS_IL_N_1,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395BL,female,SRP162370,B lymphoblast,CRL-2325,
SRR7890860,43,WGS,302,188500165668,ATCC,PRJNA489865,SAMN10102573,Human,76549106311,FDA,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4728508,Illumina HiSeq 4000,CRL-2324,WGS_LL_T_1,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395,female,SRP162370,breast carcinoma,CRL-2324,
SRR7890861,43,WGS,302,191426006598,ATCC,PRJNA489865,SAMN10102574,Human,77736970759,FDA,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX4728507,Illumina HiSeq 4000,CRL-2325,WGS_LL_N_1,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395BL,female,SRP162370,B lymphoblast,CRL-2325,
SRR7890862,43,WGS,300,62758985149,ATCC,PRJNA489865,SAMN10102573,Human,30587093762,FDA,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4728506,Illumina HiSeq 4000,CRL-2324,WGS_IL_T_3,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395,female,SRP162370,breast carcinoma,CRL-2324,
SRR7890863,43,WGS,300,67814184653,ATCC,PRJNA489865,SAMN10102573,Human,31754677704,FDA,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX4728505,Illumina HiSeq 4000,CRL-2324,WGS_IL_T_2,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395,female,SRP162370,breast carcinoma,CRL-2324,
SRR7890864,43,WGS,300,112299009900,SEQC-II,PRJNA489865,SAMN10102579,Human,47612368795,FDA,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX4728504,Illumina HiSeq 4000,SPP_GT_3-1_mix,SPP_GT_3-1_3,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,SPP_GT_3-1_mix,female,SRP162370,DNA mix,,
SRR7890865,43,WGS,302,324642158570,SEQC-II,PRJNA489865,SAMN10102580,Human,105977801138,FDA,public,"sra,fastq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX4728503,Illumina HiSeq 4000,ATCC-1395-BL-R-1,FFG_GZ_N_1h-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,ATCC-1395-BL-R-1,female,SRP162370,FFPE,,FFPE 1 hour
SRR7890866,43,WGS,302,362857216222,SEQC-II,PRJNA489865,SAMN10102580,Human,117641018544,FDA,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX4728502,Illumina HiSeq 4000,ATCC-1395-BL-R-1,FFG_GZ_N_1h-F,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,ATCC-1395-BL-R-1,female,SRP162370,FFPE,,FFPE 1 hour
SRR7890867,43,WGS,302,371520169876,SEQC-II,PRJNA489865,SAMN10102583,Human,121175548475,FDA,public,"sra,fastq","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4728501,Illumina HiSeq 4000,ATCC-1395-BL-R-24,FFG_GZ_N_24h-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,ATCC-1395-BL-R-24,female,SRP162370,FFPE,,FFPE 24 hour
SRR7890868,43,WGS,302,265979843316,SEQC-II,PRJNA489865,SAMN10102583,Human,87810992730,FDA,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX4728500,Illumina HiSeq 4000,ATCC-1395-BL-R-24,FFG_GZ_N_24h-C,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,ATCC-1395-BL-R-24,female,SRP162370,FFPE,,FFPE 24 hour
SRR7890869,43,WGS,302,319176734408,SEQC-II,PRJNA489865,SAMN10102583,Human,102630386984,FDA,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX4728499,Illumina HiSeq 4000,ATCC-1395-BL-R-24,FFG_GZ_N_24h-F,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,ATCC-1395-BL-R-24,female,SRP162370,FFPE,,FFPE 24 hour
SRR7890870,43,WGS,302,471310744408,SEQC-II,PRJNA489865,SAMN10102581,Human,154395458479,FDA,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4728498,Illumina HiSeq 4000,ATCC-1395-BL-R-2,FFG_GZ_N_2h-A,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,ATCC-1395-BL-R-2,female,SRP162370,FFPE,,FFPE 2 hour
SRR7890871,43,WGS,302,278574601410,SEQC-II,PRJNA489865,SAMN10102581,Human,90836934104,FDA,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX4728497,Illumina HiSeq 4000,ATCC-1395-BL-R-2,FFG_GZ_N_2h-E,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,ATCC-1395-BL-R-2,female,SRP162370,FFPE,,FFPE 2 hour
SRR7890872,43,WGS,302,354641094822,SEQC-II,PRJNA489865,SAMN10102582,Human,115698035850,FDA,public,"fastq,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX4728496,Illumina HiSeq 4000,ATCC-1395-BL-R-6,FFG_GZ_N_6h-A,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,ATCC-1395-BL-R-6,female,SRP162370,FFPE,,FFPE 6 hour
SRR7890873,43,WGS,302,350962308096,SEQC-II,PRJNA489865,SAMN10102582,Human,114043418513,FDA,public,"fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX4728495,Illumina HiSeq 4000,ATCC-1395-BL-R-6,FFG_GZ_N_6h-E,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,ATCC-1395-BL-R-6,female,SRP162370,FFPE,,FFPE 6 hour
SRR7890874,43,WXS,250,34948568750,ATCC,PRJNA489865,SAMN10102574,Human,14479433110,FDA,public,"fastq,sra","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX4728494,Illumina HiSeq 4000,CRL-2325,WES_IL_N_1,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395BL,female,SRP162370,B lymphoblast,CRL-2325,
SRR7890875,43,WXS,250,87680476500,ATCC,PRJNA489865,SAMN10102574,Human,36729447914,FDA,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX4728493,Illumina HiSeq 4000,CRL-2325,WES_IL_N_2,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395BL,female,SRP162370,B lymphoblast,CRL-2325,
SRR7890876,43,WXS,300,10250824200,ATCC,PRJNA489865,SAMN10102573,Human,3931945777,FDA,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX4728492,Illumina HiSeq 4000,CRL-2324,WES_FD_T_2,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395,female,SRP162370,breast carcinoma,CRL-2324,
SRR7890877,43,WXS,300,10309390500,ATCC,PRJNA489865,SAMN10102573,Human,3816432493,FDA,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX4728491,Illumina HiSeq 4000,CRL-2324,WES_FD_T_3,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395,female,SRP162370,breast carcinoma,CRL-2324,
SRR7890878,43,WXS,300,12043406100,ATCC,PRJNA489865,SAMN10102574,Human,4408394634,FDA,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX4728490,Illumina HiSeq 4000,CRL-2325,WES_FD_N_3,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395BL,female,SRP162370,B lymphoblast,CRL-2325,
SRR7890879,43,WXS,300,10918086000,ATCC,PRJNA489865,SAMN10102573,Human,4003648305,FDA,public,"fastq,sra","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX4728489,Illumina HiSeq 4000,CRL-2324,WES_FD_T_1,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395,female,SRP162370,breast carcinoma,CRL-2324,
SRR7890880,43,WXS,300,10268744400,ATCC,PRJNA489865,SAMN10102574,Human,3766852662,FDA,public,"sra,fastq","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4728488,Illumina HiSeq 4000,CRL-2325,WES_FD_N_1,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395BL,female,SRP162370,B lymphoblast,CRL-2325,
SRR7890881,43,WXS,300,11708106900,ATCC,PRJNA489865,SAMN10102574,Human,4286231901,FDA,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX4728487,Illumina HiSeq 4000,CRL-2325,WES_FD_N_2,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395BL,female,SRP162370,B lymphoblast,CRL-2325,
SRR7890882,43,WXS,250,47856050000,ATCC,PRJNA489865,SAMN10102574,Human,20061776769,FDA,public,"fastq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX4728486,Illumina HiSeq 4000,CRL-2325,WES_IL_N_3,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395BL,female,SRP162370,B lymphoblast,CRL-2325,
SRR7890883,43,WXS,250,30933014250,ATCC,PRJNA489865,SAMN10102573,Human,12661058679,FDA,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX4728485,Illumina HiSeq 4000,CRL-2324,WES_IL_T_1,PAIRED,Hybrid Selection,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395,female,SRP162370,breast carcinoma,CRL-2324,
SRR7890884,43,WGS,300,193009036386,ATCC,PRJNA489865,SAMN10102574,Human,61655728766,FDA,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX4728484,Illumina NovaSeq 6000,CRL-2325,WGS_NS_N_7,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2019-05-15T00:00:00Z,HCC1395BL,female,SRP162370,B lymphoblast,CRL-2325,
